Item_Code,Description,Qty,Unit,Material_Code,Unit_Price_EUR,Machine_Code,Process_Time_min,Labor_Grade,Markup_pct
ITM1001,Flange DN100,10,pcs,S235,0.85,CNC3AX,15,A,10
ITM1002,Bracket,25,pcs,RVS304,1.75,LASER4KW,5,B,15
ITM1003,Pipe section 1m,8,pcs,S355,0.95,WELD_MIG,12,B,12
ITM1004,Base plate,5,pcs,AL6082,2.50,CNC5AX,20,A,8
ITM1005,End cap,15,pcs,RVS316,2.10,LATHE_CNC,10,A,10
ITM1006,Support beam,12,pcs,S275,0.90,ROLL_2M,18,B,12
ITM1007,Side panel,30,pcs,AL5754,2.35,LASER6KW,7,A,14
ITM1008,Mount bracket,20,pcs,RVS_Duplex,2.80,WELD_TIG,14,B,10
ITM1009,Handle,50,pcs,PA6,2.50,ASSEMBLY,5,C,20
ITM1010,Housing,6,pcs,AL7075,3.10,CNC3AX,25,A,10
ITM1011,Cover plate,40,pcs,ABS,2.40,DRILL_AUTO,6,C,15
ITM1012,Frame part,10,pcs,CFRP,25.00,WATERJET,15,A,12
ITM1013,Panel support,18,pcs,BRONZE_RG7,5.90,WELD_ROBOT,9,B,15
ITM1014,Bearing block,5,pcs,BRASS_MS58,5.10,CNC5AX,22,A,10
ITM1015,Manifold,4,pcs,CU_ETP,6.50,HEAT_TREAT,35,B,12
ITM1016,Enclosure,3,pcs,AL5083,2.40,PAINT,10,C,8
ITM1017,Spacer ring,25,pcs,PA12,2.70,DEBURR,3,C,10
ITM1018,Control panel,2,pcs,PC,3.10,ASSEMBLY,15,B,20
ITM1019,Support foot,12,pcs,PEHD,1.50,PACKAGING,5,C,5
ITM1020,Side flange,7,pcs,POM,2.80,GRIND_AUTO,8,B,10
